Week #,Day of Week,Backup Start Time - Hour of Day,Work-Flow-ID,File Name,Size of Backup (GB),Backup Time (hour)
14,Saturday,21,work_flow_4,File_29,0.162552750046,1
7,Sunday,5,work_flow_1,File_7,0.0,0
11,Friday,5,work_flow_1,File_11,0.0,0
4,Saturday,9,work_flow_2,File_15,0.0,0
6,Sunday,1,work_flow_2,File_12,0.00234956490218,1
1,Thursday,5,work_flow_4,File_29,0.0666396100394,1
15,Tuesday,9,work_flow_0,File_5,0.0748577937435,2
14,Sunday,5,work_flow_4,File_26,0.185338036702,1
11,Saturday,5,work_flow_2,File_15,0.0,0
3,Tuesday,1,work_flow_2,File_17,0.0,0
15,Wednesday,5,work_flow_1,File_10,0.0,0
11,Wednesday,21,work_flow_4,File_25,0.0747029159335,1
14,Wednesday,21,work_flow_1,File_9,0.0,0
3,Sunday,13,work_flow_4,File_29,0.334025550459,2
9,Monday,9,work_flow_0,File_3,0.0973618545081,1
4,Friday,13,work_flow_4,File_24,0.0983241483628,3
14,Monday,21,work_flow_4,File_28,0.0689245585062,1
6,Saturday,9,work_flow_1,File_9,0.0,0
5,Monday,9,work_flow_3,File_21,0.00296361100274,1
8,Tuesday,21,work_flow_0,File_1,0.299755988962,3
14,Wednesday,1,work_flow_4,File_25,0.0727643163479,1
11,Monday,21,work_flow_3,File_23,0.0,0
10,Sunday,21,work_flow_0,File_4,0.0632191850257,1
7,Sunday,13,work_flow_4,File_25,0.347365365324,2
12,Wednesday,9,work_flow_3,File_21,0.0,0
7,Wednesday,17,work_flow_3,File_22,0.00372627518087,1
12,Sunday,9,work_flow_0,File_0,0.0338825664098,1
10,Friday,21,work_flow_0,File_3,0.138414058859,3
5,Monday,5,work_flow_3,File_23,0.0,0
5,Thursday,1,work_flow_1,File_7,0.0,0
5,Thursday,1,work_flow_0,File_3,0.0734014620514,1
3,Tuesday,21,work_flow_4,File_24,0.073706608398,2
5,Saturday,1,work_flow_1,File_10,0.0,0
5,Friday,9,work_flow_1,File_10,0.0,0
12,Friday,13,work_flow_4,File_27,0.0826512320396,2
8,Monday,9,work_flow_0,File_0,0.0910004660275,1
15,Tuesday,21,work_flow_0,File_5,0.300276253566,3
13,Sunday,17,work_flow_1,File_11,0.0,0
1,Thursday,21,work_flow_4,File_26,0.0745795231195,1
12,Friday,5,work_flow_2,File_15,0.0403402533772,1
6,Tuesday,13,work_flow_3,File_22,0.00349451783711,1
2,Tuesday,5,work_flow_0,File_4,0.0778793520046,2
5,Thursday,21,work_flow_0,File_0,0.14071155572,2
3,Monday,21,work_flow_4,File_26,0.0684928998493,1
7,Saturday,17,work_flow_0,File_4,0.0803884695771,1
4,Saturday,17,work_flow_4,File_25,0.198829164512,2
11,Tuesday,17,work_flow_1,File_7,0.0,0
8,Thursday,21,work_flow_3,File_20,0.0,0
3,Thursday,17,work_flow_1,File_10,0.0,0
13,Saturday,9,work_flow_4,File_28,0.501659316612,2
10,Tuesday,1,work_flow_1,File_9,0.12069180309,4
2,Monday,5,work_flow_1,File_9,0.158480877855,2
15,Sunday,13,work_flow_2,File_14,0.0,0
15,Monday,5,work_flow_3,File_18,0.0,0
11,Saturday,1,work_flow_4,File_26,0.106275696725,1
10,Sunday,17,work_flow_1,File_7,0.0,0
9,Monday,1,work_flow_0,File_3,0.0332832635346,1
2,Tuesday,1,work_flow_0,File_0,0.0761664790491,3
8,Friday,21,work_flow_2,File_16,0.0703350505643,2
4,Thursday,1,work_flow_4,File_24,0.071257755456,1
14,Tuesday,5,work_flow_0,File_2,0.0383735236625,1
6,Monday,9,work_flow_1,File_8,0.161604023476,2
7,Monday,1,work_flow_1,File_6,0.0406766763542,1
1,Saturday,21,work_flow_3,File_21,0.0,0
1,Friday,17,work_flow_3,File_19,0.0182307515392,1
4,Saturday,21,work_flow_3,File_22,0.0,0
8,Friday,17,work_flow_1,File_8,0.0,0
15,Wednesday,17,work_flow_2,File_17,0.00284615245829,1
2,Tuesday,21,work_flow_4,File_26,0.091015682652,3
12,Thursday,9,work_flow_3,File_20,0.0188518974539,1
7,Tuesday,5,work_flow_4,File_24,0.0735172861545,2
9,Monday,13,work_flow_1,File_6,1.00116967658,4
3,Thursday,1,work_flow_3,File_20,0.0,0
3,Saturday,17,work_flow_4,File_25,0.173665674935,1
13,Sunday,9,work_flow_3,File_18,0.0,0
13,Friday,17,work_flow_3,File_19,0.0184103248074,1
2,Sunday,21,work_flow_1,File_9,0.0,0
3,Tuesday,1,work_flow_4,File_25,0.0779569273031,3
10,Saturday,13,work_flow_2,File_13,0.0,0
3,Wednesday,17,work_flow_2,File_12,0.0,0
1,Thursday,17,work_flow_0,File_2,0.159852194591,2
13,Friday,21,work_flow_3,File_23,0.00636613551792,1
13,Thursday,1,work_flow_0,File_0,0.0646545028865,1
11,Friday,21,work_flow_1,File_11,0.0,0
10,Saturday,9,work_flow_0,File_3,0.0334851511661,1
14,Saturday,9,work_flow_2,File_16,0.0,0
9,Monday,21,work_flow_0,File_5,0.136758399634,1
10,Tuesday,1,work_flow_4,File_27,0.0796913860572,3
6,Thursday,1,work_flow_1,File_8,0.0,0
2,Thursday,1,work_flow_0,File_0,0.0691703714511,1
7,Saturday,13,work_flow_2,File_12,0.0,0
7,Friday,9,work_flow_1,File_6,0.0,0
12,Tuesday,21,work_flow_3,File_22,0.0,0
10,Thursday,1,work_flow_4,File_26,0.0730613286046,1
13,Wednesday,13,work_flow_0,File_2,0.16006922092,2
1,Thursday,1,work_flow_3,File_18,0.00371647555664,1
2,Wednesday,5,work_flow_0,File_1,0.0739213475754,1
4,Sunday,17,work_flow_4,File_29,0.161396366977,1
13,Friday,5,work_flow_2,File_12,0.0,0
9,Sunday,13,work_flow_0,File_3,0.0797865069011,1
7,Friday,1,work_flow_0,File_2,0.07144942833,2
12,Saturday,21,work_flow_3,File_20,0.0,0
3,Saturday,5,work_flow_3,File_19,0.0,0
9,Thursday,1,work_flow_1,File_8,0.0,0
7,Saturday,21,work_flow_1,File_6,0.0,0
12,Wednesday,5,work_flow_3,File_20,0.002486097732,1
1,Friday,13,work_flow_2,File_16,0.0577909423791,2
11,Friday,9,work_flow_1,File_9,0.0,0
6,Thursday,9,work_flow_2,File_13,0.0585128247423,1
2,Sunday,9,work_flow_2,File_15,0.0,0
13,Tuesday,5,work_flow_4,File_27,0.076450261776,2
1,Sunday,21,work_flow_0,File_5,0.0646479391352,1
10,Friday,21,work_flow_4,File_27,0.0741759129223,2
1,Tuesday,17,work_flow_1,File_9,0.0,0
8,Tuesday,5,work_flow_3,File_18,0.0,0
7,Monday,1,work_flow_0,File_4,0.0312840899273,1
8,Thursday,17,work_flow_0,File_4,0.160239203957,2
1,Saturday,13,work_flow_1,File_6,0.0293143743671,1
10,Sunday,9,work_flow_3,File_19,0.00355446694798,1
15,Saturday,13,work_flow_4,File_29,0.327201878781,2
14,Wednesday,1,work_flow_4,File_27,0.0742497452086,1
9,Friday,1,work_flow_0,File_1,0.0765173495172,2
8,Saturday,5,work_flow_1,File_10,0.0,0
9,Monday,17,work_flow_0,File_1,0.158967468316,1
3,Sunday,9,work_flow_1,File_11,0.0,0
2,Thursday,5,work_flow_1,File_8,0.0,0
5,Saturday,21,work_flow_2,File_14,0.0,0
5,Wednesday,1,work_flow_2,File_17,0.0,0
5,Tuesday,13,work_flow_4,File_25,0.0962137572922,3
3,Thursday,9,work_flow_3,File_21,0.0183556553409,1
8,Friday,1,work_flow_2,File_13,0.0,0
14,Tuesday,1,work_flow_4,File_26,0.0548700626582,2
3,Tuesday,17,work_flow_4,File_26,0.0765005125143,2
8,Monday,5,work_flow_3,File_18,0.0,0
1,Friday,13,work_flow_4,File_28,0.0813470193543,2
15,Friday,5,work_flow_3,File_20,0.0,0
1,Wednesday,5,work_flow_0,File_4,0.070014617472,1
12,Thursday,13,work_flow_0,File_1,0.159600358984,2
13,Tuesday,17,work_flow_1,File_8,0.0,0
1,Wednesday,17,work_flow_2,File_16,0.00248693066196,1
3,Wednesday,17,work_flow_2,File_14,0.00306221378261,1
5,Friday,13,work_flow_3,File_20,0.0196266849891,1
12,Wednesday,5,work_flow_1,File_7,0.0,0
9,Sunday,13,work_flow_2,File_13,0.0,0
6,Monday,5,work_flow_0,File_1,0.0734836639573,1
4,Wednesday,9,work_flow_3,File_22,0.00226676639431,1
13,Saturday,17,work_flow_3,File_18,0.0,0
6,Sunday,17,work_flow_0,File_2,0.0798710540018,1
7,Wednesday,13,work_flow_4,File_25,0.0895069723539,1
4,Saturday,17,work_flow_3,File_21,0.0,0
4,Saturday,5,work_flow_3,File_18,0.0,0
10,Monday,1,work_flow_4,File_29,0.120150958571,1
7,Saturday,1,work_flow_1,File_6,0.0,0
5,Monday,9,work_flow_3,File_18,0.0,0
4,Tuesday,1,work_flow_4,File_26,0.0814204865441,3
1,Friday,9,work_flow_4,File_25,0.110358621148,3
9,Saturday,17,work_flow_3,File_19,0.00330623242209,1
7,Tuesday,17,work_flow_2,File_15,0.00248020480237,1
15,Saturday,13,work_flow_3,File_19,0.00275734319342,1
12,Thursday,1,work_flow_4,File_27,0.0717766527018,1
5,Saturday,21,work_flow_0,File_0,0.0646382954442,1
4,Friday,9,work_flow_2,File_13,0.0653707749928,2
8,Monday,1,work_flow_1,File_9,0.0407469519244,1
3,Sunday,5,work_flow_4,File_28,0.193952463193,1
12,Saturday,17,work_flow_4,File_27,0.20234642562,2
2,Thursday,1,work_flow_2,File_14,0.0,0
14,Tuesday,1,work_flow_0,File_0,0.077046197321,3
11,Thursday,17,work_flow_3,File_21,0.0,0
5,Friday,13,work_flow_4,File_24,0.098869060179,3
14,Friday,1,work_flow_4,File_25,0.0690630652682,2
6,Tuesday,21,work_flow_4,File_25,0.0718678182408,2
11,Friday,13,work_flow_1,File_8,0.0,0
6,Monday,5,work_flow_1,File_11,0.1618503108,2
14,Sunday,21,work_flow_0,File_3,0.0667091519923,1
8,Monday,9,work_flow_2,File_12,0.0,0
4,Thursday,21,work_flow_0,File_5,0.139889051301,2
9,Sunday,13,work_flow_3,File_22,0.00370094753144,1
12,Thursday,21,work_flow_1,File_10,0.0,0
4,Sunday,5,work_flow_2,File_13,0.0,0
8,Tuesday,9,work_flow_3,File_20,0.00302914115481,1
5,Friday,13,work_flow_3,File_18,0.0196033522486,1
8,Sunday,13,work_flow_4,File_24,0.325257768918,2
4,Tuesday,13,work_flow_0,File_4,0.161056989944,4
6,Monday,9,work_flow_3,File_22,0.0,0
13,Wednesday,1,work_flow_2,File_17,0.00142632609664,1
10,Sunday,21,work_flow_3,File_18,0.0,0
10,Tuesday,21,work_flow_4,File_24,0.0715744241001,2
4,Monday,1,work_flow_3,File_18,0.0,0
12,Friday,1,work_flow_1,File_9,0.0,0
1,Thursday,13,work_flow_3,File_20,0.0198010022503,1
4,Wednesday,17,work_flow_0,File_1,0.158648829532,1
5,Thursday,9,work_flow_4,File_27,0.113327457248,1
4,Wednesday,21,work_flow_3,File_18,0.0,0
3,Wednesday,5,work_flow_0,File_0,0.0705907027143,1
11,Friday,9,work_flow_2,File_12,0.0,0
13,Tuesday,5,work_flow_3,File_23,0.0,0
8,Monday,1,work_flow_2,File_14,0.00213392415759,1
14,Saturday,5,work_flow_4,File_29,0.196990842955,1
4,Friday,13,work_flow_1,File_10,0.0193090370167,1
12,Monday,5,work_flow_0,File_4,0.0774390623958,1
13,Sunday,21,work_flow_1,File_9,0.0,0
5,Thursday,9,work_flow_1,File_8,0.0,0
13,Tuesday,1,work_flow_0,File_3,0.050127529377,2
1,Tuesday,5,work_flow_0,File_0,0.0794436963573,2
2,Monday,21,work_flow_1,File_8,0.321459682772,2
1,Monday,13,work_flow_2,File_15,0.0,0
1,Friday,21,work_flow_4,File_29,0.0754642707442,2
1,Tuesday,13,work_flow_4,File_28,0.100489123476,3
4,Wednesday,13,work_flow_3,File_19,0.00371023557292,1
7,Thursday,1,work_flow_1,File_7,0.0,0
2,Saturday,13,work_flow_2,File_14,0.00209397770893,1
9,Wednesday,21,work_flow_4,File_26,0.0725367040078,1
8,Thursday,13,work_flow_4,File_26,0.0942553229012,1
14,Thursday,21,work_flow_3,File_19,0.00818821927711,1
7,Monday,1,work_flow_1,File_8,0.0408938947543,1
5,Tuesday,1,work_flow_0,File_1,0.0760206487053,3
9,Sunday,1,work_flow_3,File_20,0.0,0
2,Wednesday,1,work_flow_0,File_3,0.0740256854042,1
2,Thursday,21,work_flow_1,File_11,0.0,0
1,Thursday,17,work_flow_0,File_4,0.160102629084,2
9,Tuesday,9,work_flow_3,File_18,0.0,0
2,Wednesday,9,work_flow_4,File_26,0.115024190526,1
12,Sunday,9,work_flow_3,File_21,0.0,0
4,Tuesday,5,work_flow_0,File_1,0.074019531205,2
12,Wednesday,5,work_flow_1,File_6,0.0,0
1,Tuesday,21,work_flow_4,File_24,0.0759801832312,2
7,Thursday,17,work_flow_0,File_0,0.159825213083,2
13,Tuesday,13,work_flow_0,File_1,0.159980724555,4
10,Saturday,17,work_flow_4,File_28,0.157660739687,1
9,Saturday,13,work_flow_3,File_20,0.00390591963123,1
5,Saturday,5,work_flow_0,File_0,0.0192497530804,1
1,Sunday,9,work_flow_0,File_0,0.0342073469627,1
11,Wednesday,13,work_flow_2,File_14,0.0,0
1,Tuesday,17,work_flow_2,File_12,0.00170120775436,1
5,Thursday,21,work_flow_4,File_26,0.0772158966603,1
8,Tuesday,21,work_flow_1,File_11,0.0,0
6,Wednesday,1,work_flow_1,File_8,0.0,0
15,Thursday,5,work_flow_2,File_15,0.0639452058917,1
5,Thursday,13,work_flow_2,File_12,0.0590235295682,1
5,Saturday,1,work_flow_4,File_26,0.097544297123,1
2,Thursday,13,work_flow_0,File_3,0.159611346789,2
4,Thursday,1,work_flow_3,File_18,0.00743170898354,1
5,Saturday,1,work_flow_0,File_1,0.201059387428,2
12,Sunday,13,work_flow_4,File_29,0.332461502568,2
10,Monday,1,work_flow_1,File_8,0.040637228361,1
6,Friday,9,work_flow_4,File_26,0.119441621633,3
10,Tuesday,5,work_flow_0,File_5,0.0726993117398,2
14,Tuesday,21,work_flow_4,File_25,0.0720380266641,2
3,Tuesday,9,work_flow_2,File_13,0.00219811442539,1
13,Sunday,13,work_flow_3,File_20,0.0,0
11,Sunday,17,work_flow_3,File_20,0.0,0
11,Monday,5,work_flow_0,File_5,0.0740613503429,1
5,Tuesday,13,work_flow_4,File_26,0.0977869033063,3
3,Friday,9,work_flow_4,File_29,0.120030518779,3
4,Friday,1,work_flow_2,File_13,0.0394371299127,1
12,Saturday,1,work_flow_0,File_4,0.0589777239266,1
5,Saturday,1,work_flow_3,File_19,0.0,0
6,Sunday,9,work_flow_3,File_20,0.0,0
1,Tuesday,5,work_flow_3,File_21,0.00250356725098,1
12,Friday,13,work_flow_1,File_11,0.0,0
13,Wednesday,17,work_flow_1,File_10,0.0,0
8,Thursday,13,work_flow_2,File_13,0.117016540393,2
15,Saturday,13,work_flow_0,File_1,0.0810798365215,1
5,Friday,1,work_flow_4,File_29,0.0675044416897,2
6,Saturday,5,work_flow_0,File_5,0.0182189660098,1
8,Friday,13,work_flow_2,File_12,0.0,0
5,Friday,13,work_flow_0,File_2,0.159428348617,3
5,Monday,13,work_flow_3,File_23,0.00394034994308,1
1,Thursday,17,work_flow_2,File_13,0.162348450009,2
2,Sunday,5,work_flow_2,File_13,0.0,0
10,Saturday,17,work_flow_1,File_9,0.0,0
9,Wednesday,13,work_flow_3,File_23,0.00434578694598,1
7,Thursday,17,work_flow_4,File_24,0.0762964788301,1
5,Tuesday,9,work_flow_3,File_23,0.00236480027219,1
9,Saturday,17,work_flow_4,File_25,0.198418620066,2
13,Saturday,9,work_flow_1,File_11,0.0,0
3,Monday,21,work_flow_3,File_18,0.0,0
8,Wednesday,21,work_flow_3,File_21,0.0,0
13,Sunday,17,work_flow_2,File_12,0.00255699541134,1
7,Thursday,13,work_flow_0,File_2,0.159522099387,2
13,Saturday,21,work_flow_4,File_28,0.176372418893,1
5,Saturday,9,work_flow_0,File_4,0.030352618879,1
1,Wednesday,9,work_flow_1,File_6,0.0,0
10,Thursday,5,work_flow_1,File_8,0.0,0
14,Tuesday,9,work_flow_4,File_28,0.118705663611,3
13,Tuesday,17,work_flow_3,File_18,0.00369557633669,1
8,Sunday,17,work_flow_1,File_11,0.0,0
5,Sunday,13,work_flow_4,File_25,0.341815700935,2
5,Sunday,21,work_flow_2,File_12,0.0,0
3,Tuesday,1,work_flow_4,File_29,0.0550351279746,2
5,Tuesday,9,work_flow_0,File_1,0.0995989561147,3
11,Saturday,5,work_flow_2,File_13,0.0,0
8,Wednesday,1,work_flow_3,File_21,0.0,0
3,Sunday,17,work_flow_4,File_28,0.198926880106,2
2,Friday,9,work_flow_4,File_27,0.12011452934,3
5,Thursday,17,work_flow_4,File_24,0.0781778638176,1
5,Sunday,13,work_flow_0,File_1,0.0791797828658,1
5,Thursday,9,work_flow_0,File_3,0.0961900383523,1
5,Friday,9,work_flow_4,File_27,0.119595243207,3
11,Thursday,5,work_flow_0,File_2,0.0762425749404,1
9,Thursday,13,work_flow_4,File_29,0.0978984239131,1
13,Tuesday,21,work_flow_3,File_23,0.00274942692072,1
10,Tuesday,9,work_flow_4,File_28,0.110576204892,3
2,Monday,13,work_flow_2,File_16,0.0,0
13,Thursday,21,work_flow_0,File_5,0.139666734619,2
15,Thursday,17,work_flow_2,File_12,0.15072290603,2
2,Saturday,13,work_flow_2,File_16,0.00217264346249,1
2,Saturday,21,work_flow_2,File_13,0.0,0
3,Friday,21,work_flow_4,File_26,0.0771309426707,2
10,Monday,1,work_flow_3,File_23,0.0,0
3,Thursday,13,work_flow_0,File_3,0.159472612719,2
2,Thursday,9,work_flow_4,File_27,0.115279681125,1
14,Thursday,5,work_flow_0,File_4,0.0755608760279,1
2,Wednesday,17,work_flow_4,File_24,0.0776451989756,1
7,Sunday,21,work_flow_3,File_21,0.0025366172367,1
15,Sunday,5,work_flow_0,File_5,0.0166316004533,1
7,Tuesday,13,work_flow_4,File_26,0.0987515116697,3
2,Sunday,1,work_flow_1,File_6,0.0,0
4,Monday,17,work_flow_2,File_16,0.0,0
10,Friday,13,work_flow_1,File_7,0.0215668357685,1
9,Monday,9,work_flow_3,File_19,0.00353660164335,1
13,Thursday,21,work_flow_3,File_18,0.00737884675221,1
2,Monday,1,work_flow_0,File_5,0.0334297010035,1
1,Friday,1,work_flow_2,File_12,0.0,0
6,Thursday,1,work_flow_2,File_16,0.0,0
10,Saturday,1,work_flow_3,File_21,0.00565641004626,1
14,Wednesday,17,work_flow_4,File_24,0.0703431249206,1
1,Monday,21,work_flow_3,File_22,0.0,0
8,Sunday,17,work_flow_2,File_12,0.0,0
8,Thursday,21,work_flow_1,File_8,0.0,0
7,Saturday,21,work_flow_4,File_24,0.201234722834,2
13,Thursday,5,work_flow_1,File_6,0.0,0
3,Tuesday,1,work_flow_1,File_7,0.119605263113,4
4,Thursday,13,work_flow_3,File_18,0.019929390457,1
7,Friday,1,work_flow_2,File_12,0.0385348945843,1
15,Saturday,1,work_flow_1,File_8,0.0,0
5,Tuesday,5,work_flow_0,File_3,0.0737875726383,2
3,Wednesday,21,work_flow_1,File_10,0.0,0
4,Saturday,9,work_flow_0,File_2,0.0337039457648,1
5,Tuesday,9,work_flow_3,File_22,0.00233340087517,1
14,Thursday,17,work_flow_3,File_23,0.0190585833126,1
3,Thursday,13,work_flow_1,File_11,0.0,0
10,Saturday,1,work_flow_2,File_13,0.0732607027699,1
9,Sunday,21,work_flow_2,File_13,0.00242114037824,1
15,Saturday,1,work_flow_1,File_11,0.0,0
1,Friday,21,work_flow_1,File_11,0.0,0
15,Saturday,9,work_flow_1,File_11,0.0,0
4,Monday,21,work_flow_3,File_22,0.0,0
10,Sunday,1,work_flow_2,File_17,0.0,0
7,Friday,1,work_flow_3,File_22,0.0,0
7,Monday,9,work_flow_2,File_15,0.00179341486168,1
1,Friday,17,work_flow_4,File_29,0.0770585120016,2
10,Thursday,9,work_flow_0,File_3,0.0971979442805,1
15,Thursday,13,work_flow_2,File_15,0.0589298560298,1
6,Sunday,1,work_flow_4,File_29,0.202378359615,2
15,Saturday,17,work_flow_2,File_15,0.0,0
9,Saturday,17,work_flow_4,File_28,0.197728974726,2
15,Sunday,17,work_flow_2,File_12,0.00253670492328,1
4,Sunday,5,work_flow_4,File_25,0.197487027898,1
9,Wednesday,13,work_flow_0,File_4,0.159857422718,1
10,Saturday,17,work_flow_2,File_16,0.0027883261897,1
1,Tuesday,13,work_flow_3,File_19,0.0,0
9,Thursday,17,work_flow_3,File_19,0.0214536004749,1
3,Thursday,9,work_flow_4,File_29,0.118422309505,1
2,Saturday,1,work_flow_4,File_27,0.0846171383413,1
3,Saturday,9,work_flow_1,File_8,0.0,0
12,Wednesday,13,work_flow_0,File_4,0.159742545454,2
4,Saturday,13,work_flow_0,File_4,0.0796339529376,1
3,Monday,1,work_flow_2,File_17,0.0,0
13,Tuesday,5,work_flow_3,File_21,0.0,0
3,Sunday,5,work_flow_4,File_29,0.179026546158,1
3,Tuesday,5,work_flow_3,File_22,0.0,0
9,Tuesday,13,work_flow_1,File_8,0.0405380966877,2
15,Sunday,21,work_flow_0,File_5,0.0651549286266,1
12,Tuesday,13,work_flow_2,File_15,0.0,0
5,Saturday,9,work_flow_0,File_5,0.0326319110945,1
12,Thursday,13,work_flow_2,File_12,0.0,0
12,Wednesday,17,work_flow_4,File_29,0.0779549846668,1
2,Thursday,17,work_flow_1,File_6,0.0,0
4,Sunday,21,work_flow_2,File_13,0.00238494700792,1
15,Thursday,5,work_flow_3,File_20,0.00665453464798,1
1,Tuesday,13,work_flow_1,File_7,0.0,0
15,Thursday,9,work_flow_0,File_3,0.0962767505606,1
5,Friday,17,work_flow_3,File_21,0.0201560546159,1
14,Saturday,9,work_flow_4,File_25,0.4910391331,2
12,Monday,17,work_flow_3,File_23,0.0,0
4,Wednesday,5,work_flow_3,File_20,0.0,0
12,Friday,21,work_flow_1,File_7,0.0,0
15,Sunday,1,work_flow_2,File_17,0.0,0
4,Sunday,13,work_flow_2,File_16,0.0,0
1,Wednesday,21,work_flow_3,File_19,0.0,0
7,Tuesday,17,work_flow_1,File_7,0.0,0
1,Tuesday,17,work_flow_4,File_25,0.0789134529715,2
12,Thursday,17,work_flow_4,File_29,0.0767742342605,1
9,Tuesday,13,work_flow_3,File_18,0.0,0
6,Thursday,13,work_flow_0,File_0,0.159478380015,2
9,Sunday,17,work_flow_4,File_25,0.186812802353,1
3,Thursday,13,work_flow_1,File_6,0.0266359207862,1
8,Friday,1,work_flow_3,File_22,0.0,0
14,Sunday,17,work_flow_4,File_27,0.201225223655,2
10,Monday,9,work_flow_2,File_14,0.0,0
12,Monday,1,work_flow_2,File_14,0.0,0
14,Wednesday,5,work_flow_1,File_7,0.0,0
11,Tuesday,17,work_flow_1,File_9,0.0,0
7,Sunday,1,work_flow_1,File_9,0.0,0
13,Saturday,21,work_flow_1,File_9,0.0,0
13,Sunday,5,work_flow_3,File_19,0.0,0
1,Thursday,13,work_flow_2,File_12,0.0,0
1,Wednesday,1,work_flow_3,File_18,0.0,0
4,Wednesday,9,work_flow_3,File_23,0.0,0
11,Thursday,17,work_flow_0,File_5,0.160992022545,2
15,Thursday,17,work_flow_1,File_11,0.0,0
15,Saturday,17,work_flow_2,File_14,0.0,0
5,Thursday,17,work_flow_1,File_6,0.0,0
5,Monday,21,work_flow_0,File_2,0.137456642656,1
8,Sunday,5,work_flow_2,File_12,0.0,0
9,Thursday,1,work_flow_3,File_19,0.00545343255067,1
8,Tuesday,9,work_flow_3,File_18,0.00247267069963,1
1,Sunday,21,work_flow_1,File_7,0.0,0
7,Saturday,21,work_flow_2,File_13,0.0,0
2,Thursday,17,work_flow_3,File_23,0.019992613433,1
2,Wednesday,21,work_flow_2,File_14,0.00201773643441,1
9,Monday,17,work_flow_2,File_16,0.0,0
8,Wednesday,9,work_flow_1,File_10,0.0,0
9,Thursday,17,work_flow_2,File_17,0.178749258735,2
1,Tuesday,21,work_flow_2,File_15,0.0,0
11,Friday,17,work_flow_4,File_24,0.0731590858257,2
5,Sunday,21,work_flow_2,File_16,0.0,0
14,Monday,13,work_flow_4,File_25,0.0967504473005,1
10,Thursday,13,work_flow_1,File_11,0.0,0
7,Thursday,1,work_flow_4,File_27,0.0735462182344,1
11,Saturday,1,work_flow_1,File_7,0.0,0
4,Monday,21,work_flow_3,File_18,0.00241512671903,1
14,Sunday,13,work_flow_4,File_25,0.344184785441,2
4,Saturday,9,work_flow_0,File_5,0.0325847975225,1
2,Sunday,21,work_flow_1,File_11,0.0,0
12,Tuesday,13,work_flow_3,File_21,0.0,0
8,Saturday,17,work_flow_4,File_26,0.200852657344,2
14,Sunday,13,work_flow_2,File_12,0.0,0
